total_debt,mortgage_debt,consumer_debt
10.615741,4.375714,6.240027
10.6369,4.484928,6.151972
10.406386000000001,4.493386,5.913
10.252837,4.512131,5.740706
10.287514999999999,4.596082,5.691433
10.416878,4.723624,5.693254
10.306743,4.720102,5.586641
10.379325999999999,4.802776,5.57655
10.447258000000001,4.884527,5.562731
10.504029,4.930689,5.57334
10.409941,4.890362,5.519579
10.380409,4.876376,5.504033
10.348921,4.850575,5.498346
10.376333,4.850596,5.525737
10.381299,4.854205,5.527094
10.425533999999999,4.870328,5.555206
10.478991,4.895675,5.583316
10.607963,4.934267,5.673696
10.719033,4.972294,5.746739
10.878463,5.042887,5.835576
11.220536,5.22003,6.000506
11.310744,5.281076,6.029668
11.595799,5.408039,6.18776
11.72557,5.482499,6.243071
11.739687,5.504987,6.2347
11.812106,5.542903,6.269203
11.91714,5.598595,6.318545
12.062024,5.698757,6.363267
11.931284999999999,5.705198,6.226087
12.067256,5.823345,6.243911
11.939658999999999,5.789598,6.150061
11.806446000000001,5.733047,6.073399
11.752855,5.734042,6.018813
11.736396,5.767063,5.969333
11.691189999999999,5.791636,5.899554
11.569182999999999,5.726589,5.842594
11.565868,5.75387,5.811998
11.731491,5.859422,5.872069
11.793876999999998,5.948757,5.84512
11.745678999999999,5.981797,5.763882
11.64915,6.013543,5.635607
11.60066,6.06,5.54066
11.583131999999999,6.101873,5.481259
11.604449,6.184847,5.419602
11.578032,6.222793,5.355239
11.434237,6.195692,5.238545
11.318681999999999,6.181328,5.137354
11.117332999999999,6.100082,5.017251
10.855581,5.988402,4.867179
10.680886000000001,5.906447,4.774439
10.54005,5.837651,4.702399
10.455214999999999,5.795003,4.660212
10.419139,5.766582,4.652557
10.35443,5.705527,4.648903
10.405425999999999,5.700123,4.705303
10.368518,5.613104,4.755414
10.388444,5.556527,4.831917
10.452492,5.528256,4.924236
10.586959,5.551088,5.035871
10.699629000000002,5.579557,5.120072
10.888513,5.640501,5.248012
11.080721,5.686069,5.394652
11.185719,5.662631,5.523088
11.223493,5.629141,5.594352
11.242343,5.589139,5.653204
11.269972,5.59455,5.675422
11.315366000000001,5.602688,5.712678
11.371210999999999,5.5942,5.777011
11.328849,5.603136,5.725713
11.328918000000002,5.625504,5.703414
11.33802,5.619572,5.718448
11.288260000000001,5.582594,5.705666
11.144148000000001,5.515538,5.62861
11.166536,5.49407,5.672466
11.152643,5.465615,5.687028
11.216343,5.45525,5.761093
11.267941,5.467995,5.799946
11.429755,5.523223,5.906532
11.542359,5.56638,5.975979
11.54613,5.585897,5.960233
11.525336,5.576028,5.949308
11.669062,5.620703,6.048359
11.82722,5.654453,6.172767
12.020487,5.701759,6.318728
12.121151999999999,5.6952,6.425952
12.353634,5.775652,6.577982
12.309625,5.756607,6.553018
12.662143,5.929021,6.733122
12.442115,5.811716,6.630399
12.347863,5.775532,6.572331
12.356124000000001,5.808071,6.548053
12.320267000000001,5.831791,6.488476
12.348066,5.871306,6.47676
12.274712000000001,5.841388,6.433324
12.114260000000002,5.770361,6.343899
12.184712000000001,5.828804,6.355908
12.189125,5.836053,6.353072
12.125358,5.834537,6.290821
12.231869,5.922967,6.308902
12.224184000000001,5.992662,6.231522
12.548984,6.236844,6.31214
12.543675,6.284713,6.258962
12.587784,6.403871,6.183913
12.611487,6.497914,6.113573
12.618816,6.52826,6.090556
12.667022,6.694844,5.972178
12.779304,6.848394,5.93091
12.866873,6.948173,5.9187
12.896722,6.984662,5.91206
12.941818999999999,7.012782,5.929037
13.050642,7.086436,5.964206
13.172721,7.183105,5.989616
13.110655,7.122571,5.988084
12.760976,6.929816,5.83116
12.826082,6.965083,5.860999
12.76267,6.926282,5.836388
12.676245000000002,6.888041,5.788204
12.365321999999999,6.737112,5.62821
12.241,6.66387,5.57713
11.941790000000001,6.533026,5.408764
11.634187,6.351318,5.282869
11.297374,6.181717,5.115657
11.096392000000002,6.07835,5.018042
10.949832,5.934182,5.01565
10.761016000000001,5.706958,5.054058
10.680833,5.641073,5.03976
10.570841999999999,5.560286,5.010556
10.446358,5.436148,5.01021
10.207318,5.275065,4.932253
10.076971,5.165782,4.911189
10.128193,5.14576,4.982433
9.805904,4.934149,4.871755
10.161567,5.030038,5.131529
10.081705,4.931149,5.150556
10.042949,4.871036,5.171913
10.050144,4.842365,5.207779
9.966645,4.747875,5.21877
9.902279,4.666341,5.235938
9.860731000000001,4.593134,5.267597
9.827321999999999,4.530003,5.297319
9.844577,4.512159,5.332418
9.880728999999999,4.466645,5.414084
9.940024000000001,4.445439,5.494585
9.882719,4.453962,5.428757
9.851829,4.428295,5.423534
9.948322,4.427381,5.520941
10.01108,4.411098,5.599982
9.987303,4.345691,5.641612
9.941579,4.302988,5.638591
9.906611,4.266668,5.639943
9.908515,4.250093,5.658422
9.913335,4.224914,5.688421
9.845678,4.182502,5.663176
9.794761999999999,4.169502,5.62526
9.797887,4.147701,5.650186
9.811301,4.141831,5.66947
9.845611,4.150404,5.695207
9.906234999999999,4.156994,5.749241
9.939699999999998,4.153077,5.786623
9.935041,4.128882,5.806159
9.854159,4.086403,5.767756
8.852360000000001,3.733179,5.119181
9.197696,3.871562,5.326134
9.404462,3.956961,5.447501
8.384155,3.50548,4.878675
9.109954,3.788117,5.321837
9.203736,3.8036,5.400136
9.319518,3.838347,5.481171
9.519035,3.891944,5.627091
